項次,分類,原始項次,domain,URL,系統名稱,弱點名稱,弱點描述(英文),弱點描述(中文),修補建議(英文),修補建議(中文),風險等級,參數資訊,標的管理單位,弱點狀態,弱點發現時間,設備種類,檢測日期
170,Low,352,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/%E5%9C%8B%E7%94%A2%E8%B3%87%E7%AD%96%E6%9C%83%E9%9B%B2%E7%AB%AF%E6%8A%8A%E9%97%9C329%E5%AE%B6%E7%87%9F%E9%80%A0%E5%95%86%E5%BB%BA%E6%9D%90%E5%AE%89%E5%BF%83%E6%9F%A5-d970a193-abdc-4640-ab78-1276e1959039
參數:國產資策會雲端把關329家營造商建材安心查-d970a193-abdc-4640-ab78-1276e1959039(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
171,Low,353,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%B8%AF%E6%82%B2%E5%8A%87%E5%95%9F%E7%A4%BA%E9%AB%98%E6%A8%93%E4%BF%AE%E7%B9%95%E5%8D%B1%E6%A9%9F--%E4%BD%95%E5%B2%AB%E7%92%81%E6%95%99%E6%8E%88%E3%80%8C%E8%A4%87%E5%90%88%E5%BC%8F%E7%81%AB%E7%81%BD%E3%80%8D%E6%96%B0%E5%A8%81%E8%84%85-%E7%B1%B2%E5%85%...
參數:港悲劇啟示高樓修繕危機--何岫璁教授「複合式火災」新威脅-籲全面導入「遠端監控火災預警系統」(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
172,Low,355,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%97%BA%E5%B9%B4%E6%9C%83%E7%A7%80ai%E5%8A%A9%E7%90%86-%E8%91%A3%E5%BA%A7%E6%9E%97%E5%BB%BA%E6%B6%B52026%E5%B9%B4%E6%9C%83%E6%9B%B4%E5%A5%BD
參數:中保科旺年會秀ai助理-董座林建涵2026年會更好(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
173,Low,356,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E5%B8%83%E5%B1%80ai%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8A%E5%A4%A7%E8%BA%8D%E9%80%B2%E6%97%97%E4%B8%8B%E5%9C%8B%E9%9B%B2%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8A%E5%8A%A9%E6%94%BB%E6%96%B0%E7%AB%B9%E5%B8%82%E6%99%BA%E6%85%A7%E8%BB%8...
參數:中保科布局ai智慧停車大躍進旗下國雲智慧停車助攻新竹市智慧車柱突破2400席(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
174,Low,357,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%94%9C%E6%A6%AE%E7%B8%BD-%E5%95%9F%E5%8B%95ai%E9%9F%8C%E6%80%A7%E9%86%AB%E7%99%82%E6%96%B0%E7%AF%87%E7%AB%A0-%E6%8D%90%E8%B4%8823%E5%A5%97ai%E6%99%BA%E6%85%A7%E6%80%A5%E6%95%91%E8%A8%93%E7%B7%B4%E6%A8%A1%E7%B5%84-15%E5%B9%B...
參數:中保科攜榮總-啟動ai韌性醫療新篇章-捐贈23套ai智慧急救訓練模組-15年累計急救訓練超過47萬人(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
175,Low,358,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%BD%8E%E7%A2%B3%E9%80%9A%E8%A8%8A%E7%AB%99%E4%B8%8A-ces-%E8%88%9E%E5%8F%B0-%E8%87%AA3600%E4%BB%B6%E4%BD%9C%E5%93%81%E4%B8%AD%E8%84%AB%E7%A9%8E%E8%80%8C%E5%87%BA---%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%8A%80-gtalk-%E5%A5%AA%E5%89%B5%E6%96%B0%E7%8D%8E%E4%BA%A...
參數:低碳通訊站上-ces-舞台-自3600件作品中脫穎而出---中保科技-gtalk-奪創新獎亮相官方展區(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
176,Low,359,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/6%E5%85%8B%E6%99%BA%E6%85%A7%E6%A8%99%E7%B1%A4%E9%A1%9B%E8%A6%86%E5%B0%8D%E8%AC%9B%E6%8A%80%E8%A1%93-%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%8A%80%E5%86%8D%E7%99%BB%E5%9C%8B%E9%9A%9B%E8%88%9E%E5%8F%B0
參數:6克智慧標籤顛覆對講技術-中保科技再登國際舞台(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
177,Low,360,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E7%89%A9%E8%81%AF%E7%B6%B2%E5%9C%A8%E7%B4%85%E4%BB%80%E9%BA%BC%E4%BB%8A%E5%B9%B4%E9%9B%BB%E8%85%A6%E5%B1%955%E5%A4%A7%E8%B6%A8%E5%8B%A2%E6%95%99%E4%BD%A0%E7%A7%92%E6%87%82%E6%99%BA%E6%85%A7%E7%94%9F%E6%B4%BB
參數:物聯網在紅什麼今年電腦展5大趨勢教你秒懂智慧生活(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
178,Low,361,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/ar%E9%AB%94%E9%A9%97%E5%92%96%E5%95%A1%E5%BB%B3-%E4%B8%AD%E4%BF%9D%E5%A4%A7%E5%AE%89%E9%A4%A8%E6%8E%A8%E7%89%A9%E8%81%AF%E7%B6%B2%E5%AF%A6%E5%A2%83%E7%A7%80
參數:ar體驗咖啡廳-中保大安館推物聯網實境秀(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
179,Low,362,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%B0%8F%E6%9C%8B%E5%8F%8B%E7%8E%A9%E9%81%8A%E6%88%B2%E5%AD%B8%E7%A8%8B%E5%BC%8F%E8%A8%AD%E8%A8%88%E6%89%93%E9%80%A0%E6%9C%AA%E4%BE%86%E8%B3%88%E4%BC%AF%E6%96%AF
參數:小朋友玩遊戲學程式設計打造未來賈伯斯(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
180,Low,363,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/%E6%A6%AE%E7%99%BB%E3%80%8C%E5%A4%96%E8%B3%87%E7%B2%BE%E9%81%B8%E5%8F%B0%E7%81%A3100%E5%BC%B7%E3%80%8D%E7%AC%AC12%E5%BC%B7-%E4%B8%AD%E4%BF%9D%E7%A7%919917%E5%89%B5%E6%96%B0%E8%88%87%E6%B0%B8%E7%BA%8C%E4%B8%A6%E8%A1%8C%E5%86%8D%E7%8D%B2%E5%9C%8B%E9%9A%9B...
參數:榮登「外資精選台灣100強」第12強-中保科9917創新與永續並行再獲國際肯定(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
